Sample;Ch1;Ch2;Ch3;Ch4
0;0.009981284849345684;0.0010003751376643777;0.013944223523139954;0.010972568765282631
1;0.003992514219135046;-0.0020007502753287554;0.0019920319318771362;0.006982543505728245
2;0.010979413986206055;-0.003001125529408455;-0.0019920319318771362;-0.002992518711835146
3;0.003992514219135046;0.0020007502753287554;0.0019920319318771362;0.005985037423670292
4;0.007985028438270092;0.004001500550657511;0.008964143693447113;0.0009975061984732747
5;0.012975670397281647;0.00600225105881691;0.008964143693447113;-0.002992518711835146
6;0.0009981285547837615;-0.0010003751376643777;-0.0009960159659385681;-0.009975062683224678
7;0.01197754219174385;-0.0010003751376643777;0.006972111761569977;0.005985037423670292
8;0.007985028438270092;0.008003001101315022;0.005976095795631409;0.002992518711835146
9;-0.01197754219174385;0.0020007502753287554;0.007968127727508545;0.005985037423670292
10;-0.007985028438270092;-0.0010003751376643777;0.0029880478978157043;0.006982543505728245
11;-0.0029943855479359627;0.008003001101315022;0.006972111761569977;0.009975062683224678
12;0.015970056876540184;0.00600225105881691;0.0;0.009975062683224678
13;-0.001996257109567523;0.0010003751376643777;0.007968127727508545;-0.0009975061984732747
14;0.01696818508207798;0.00600225105881691;0.0;0.003990024793893099
15;0.0009981285547837615;0.0020007502753287554;0.004980079829692841;0.0019950123969465494
16;0.004990642424672842;0.0010003751376643777;0.007968127727508545;0.003990024793893099
17;0.013973799534142017;0.005001875571906567;0.005976095795631409;0.00897755566984415
18;0.007985028438270092;-0.0020007502753287554;0.005976095795631409;0.0
19;0.012975670397281647;0.008003001101315022;0.007968127727508545;0.007980049587786198
20;0.006986899767071009;0.008003001101315022;0.005976095795631409;-0.002992518711835146
21;0.001996257109567523;-0.004001500550657511;0.0;0.004987531341612339
22;0.005988771095871925;0.00600225105881691;0.01095617562532425;0.003990024793893099
23;0.012975670397281647;0.003001125529408455;0.0019920319318771362;-0.0019950123969465494
24;0.010979413986206055;0.003001125529408455;0.0009960159659385681;0.003990024793893099
25;0.007985028438270092;0.0010003751376643777;0.018924303352832794;0.006982543505728245
26;0.025951340794563293;0.0010003751376643777;0.005976095795631409;0.002992518711835146
27;-0.014971927739679813;0.005001875571906567;0.0009960159659385681;0.009975062683224678
28;0.01197754219174385;-0.003001125529408455;0.0029880478978157043;0.006982543505728245
29;0.0029943855479359627;-0.0010003751376643777;0.0019920319318771362;-0.0009975061984732747
30;0.008983156643807888;-0.0010003751376643777;0.011952191591262817;0.0
31;0.004990642424672842;0.0010003751376643777;0.008964143693447113;0.009975062683224678
32;0.0029943855479359627;-0.005001875571906567;0.004980079829692841;0.004987531341612339
33;0.009981284849345684;0.004001500550657511;0.006972111761569977;0.0009975061984732747
34;0.007985028438270092;-0.004001500550657511;0.0029880478978157043;0.005985037423670292
35;0.0029943855479359627;0.00600225105881691;0.005976095795631409;0.004987531341612339
36;0.012975670397281647;-0.003001125529408455;0.008964143693447113;0.004987531341612339
37;-0.007985028438270092;-0.004001500550657511;0.007968127727508545;0.011970074847340584
38;0.01197754219174385;-0.0010003751376643777;0.006972111761569977;0.00897755566984415
39;0.0009981285547837615;0.003001125529408455;-0.0029880478978157043;0.00897755566984415
40;0.009981284849345684;0.004001500550657511;0.006972111761569977;0.003990024793893099
41;-0.0009981285547837615;0.0010003751376643777;0.008964143693447113;0.009975062683224678
42;-0.001996257109567523;0.009003376588225365;0.0039840638637542725;-0.003990024793893099
43;-0.027947599068284035;0.0;0.004980079829692841;0.0019950123969465494
44;0.001996257109567523;0.003001125529408455;0.006972111761569977;0.007980049587786198
45;0.015970056876540184;-0.0020007502753287554;0.006972111761569977;0.009975062683224678
46;0.0009981285547837615;-0.0020007502753287554;-0.005976095795631409;0.002992518711835146
47;0.017966313287615776;0.007002626080065966;0.0039840638637542725;-0.0019950123969465494
48;0.0;-0.003001125529408455;0.0019920319318771362;0.014962593093514442
49;-0.006986899767071009;0.005001875571906567;-0.0029880478978157043;0.0019950123969465494
50;0.001996257109567523;0.005001875571906567;0.01095617562532425;0.002992518711835146
51;0.007985028438270092;-0.0010003751376643777;0.0019920319318771362;0.006982543505728245
52;0.005988771095871925;0.0020007502753287554;0.0029880478978157043;-0.0019950123969465494
53;-0.001996257109567523;-0.0020007502753287554;0.004980079829692841;0.009975062683224678
54;0.0029943855479359627;0.0;0.011952191591262817;0.0
55;-0.005988771095871925;0.005001875571906567;0.008964143693447113;0.006982543505728245
56;-0.004990642424672842;0.005001875571906567;0.0019920319318771362;0.00897755566984415
57;0.0029943855479359627;0.009003376588225365;0.0039840638637542725;0.003990024793893099
58;-0.009981284849345684;-0.0010003751376643777;0.0029880478978157043;-0.0019950123969465494
59;-0.0029943855479359627;-0.0020007502753287554;0.005976095795631409;0.003990024793893099
60;-0.013973799534142017;0.007002626080065966;-0.0009960159659385681;0.002992518711835146
61;0.006986899767071009;-0.0020007502753287554;0.004980079829692841;-0.0009975061984732747
62;0.003992514219135046;0.003001125529408455;0.0039840638637542725;-0.004987531341612339
63;-0.007985028438270092;0.0020007502753287554;0.006972111761569977;-0.002992518711835146
64;0.0009981285547837615;0.005001875571906567;0.008964143693447113;0.0
65;-0.0009981285547837615;0.003001125529408455;0.009960159659385681;0.0019950123969465494
66;0.003992514219135046;-0.004001500550657511;0.0029880478978157043;0.011970074847340584
67;0.007985028438270092;-0.00600225105881691;0.006972111761569977;-0.002992518711835146
68;0.001996257109567523;0.0020007502753287554;0.0;0.007980049587786198
69;-0.014971927739679813;0.007002626080065966;-0.0019920319318771362;-0.002992518711835146
70;0.01197754219174385;0.0020007502753287554;0.0029880478978157043;0.0009975061984732747
71;0.004990642424672842;-0.0010003751376643777;0.004980079829692841;0.005985037423670292
72;-0.006986899767071009;0.005001875571906567;0.006972111761569977;-0.002992518711835146
73;0.004990642424672842;-0.00600225105881691;0.0039840638637542725;0.005985037423670292
74;0.008983156643807888;0.0010003751376643777;0.0029880478978157043;0.0009975061984732747
75;0.004990642424672842;0.003001125529408455;0.0029880478978157043;0.003990024793893099
76;0.005988771095871925;0.005001875571906567;0.007968127727508545;-0.003990024793893099
77;0.008983156643807888;0.0;0.006972111761569977;0.011970074847340584
